[Kavita] [2024-02-28 00:00:06.412 +00:00  92] [Information] API.Services.Plus.ScrobblingService Starting Scrobble Processing
[Kavita] [2024-02-28 00:00:06.420 +00:00  59] [Information] API.Services.Tasks.CleanupService Performing cleanup of Series that are Completed and have been fully read that are in Want To Read list
[Kavita] [2024-02-28 00:00:06.420 +00:00  56] [Information] API.Services.Tasks.CleanupService Starting Cleanup
[Kavita] [2024-02-28 00:00:06.430 +00:00  133] [Information] API.Services.Tasks.ScannerService Starting Scan of All Libraries
[Kavita] [2024-02-28 00:00:06.442 +00:00  56] [Information] API.Services.Tasks.CleanupService Cleaning temp directory
[Kavita] [2024-02-28 00:00:06.443 +00:00  56] [Information] API.Services.Tasks.CleanupService Performing cleanup of Cache & Temp directories
[Kavita] [2024-02-28 00:00:06.444 +00:00  56] [Information] API.Services.Tasks.CleanupService Cache and temp directory purged
[Kavita] [2024-02-28 00:00:06.445 +00:00  56] [Information] API.Services.Tasks.CleanupService Cleaning old database backups
[Kavita] [2024-02-28 00:00:06.459 +00:00  56] [Information] API.Services.Tasks.CleanupService Beginning cleanup of Database backups at "2024-02-28T00:00:06.4599291+00:00"
[Kavita] [2024-02-28 00:00:06.463 +00:00  56] [Information] API.Services.Tasks.CleanupService Finished cleanup of Database backups at "2024-02-28T00:00:06.4634800+00:00"
[Kavita] [2024-02-28 00:00:06.464 +00:00  56] [Information] API.Services.Tasks.CleanupService Cleaning deleted cover images
[Kavita] [2024-02-28 00:00:06.496 +00:00  92] [Information] API.Services.Plus.ScrobblingService Found 0 Scrobble Events
[Kavita] [2024-02-28 00:00:06.498 +00:00  92] [Debug] API.Services.Plus.ScrobblingService Saving Progress
[Kavita] [2024-02-28 00:00:06.501 +00:00  92] [Debug] API.Services.Plus.ScrobblingService Saving Progress
[Kavita] [2024-02-28 00:00:06.504 +00:00  92] [Debug] API.Services.Plus.ScrobblingService Saving Progress
