[Kavita] [2024-03-07 00:00:07.287 +00:00  250] [Information] API.Services.Tasks.CleanupService Starting Cleanup
[Kavita] [2024-03-07 00:00:07.299 +00:00  250] [Information] API.Services.Tasks.CleanupService Cleaning temp directory
[Kavita] [2024-03-07 00:00:07.300 +00:00  250] [Information] API.Services.Tasks.CleanupService Performing cleanup of Cache & Temp directories
[Kavita] [2024-03-07 00:00:07.301 +00:00  250] [Information] API.Services.Tasks.CleanupService Cache and temp directory purged
[Kavita] [2024-03-07 00:00:07.302 +00:00  250] [Information] API.Services.Tasks.CleanupService Cleaning old database backups
[Kavita] [2024-03-07 00:00:07.309 +00:00  249] [Information] API.Services.Plus.ScrobblingService Starting Scrobble Processing
[Kavita] [2024-03-07 00:00:07.311 +00:00  269] [Information] API.Services.Tasks.CleanupService Performing cleanup of Series that are Completed and have been fully read that are in Want To Read list
[Kavita] [2024-03-07 00:00:07.316 +00:00  239] [Information] API.Services.Tasks.ScannerService Starting Scan of All Libraries
[Kavita] [2024-03-07 00:00:07.325 +00:00  250] [Information] API.Services.Tasks.CleanupService Beginning cleanup of Database backups at "2024-03-07T00:00:07.3252197+00:00"
[Kavita] [2024-03-07 00:00:07.329 +00:00  250] [Information] API.Services.Tasks.CleanupService Finished cleanup of Database backups at "2024-03-07T00:00:07.3296602+00:00"
[Kavita] [2024-03-07 00:00:07.330 +00:00  250] [Information] API.Services.Tasks.CleanupService Cleaning deleted cover images
[Kavita] [2024-03-07 00:00:07.336 +00:00  239] [Information] API.Services.Tasks.ScannerService [ScannerService] Beginning file scan on hmanga
[Kavita] [2024-03-07 00:00:07.376 +00:00  249] [Information] API.Services.Plus.ScrobblingService Found 0 Scrobble Events
[Kavita] [2024-03-07 00:00:07.377 +00:00  249] [Debug] API.Services.Plus.ScrobblingService Saving Progress
[Kavita] [2024-03-07 00:00:07.380 +00:00  249] [Debug] API.Services.Plus.ScrobblingService Saving Progress
[Kavita] [2024-03-07 00:00:07.382 +00:00  249] [Debug] API.Services.Plus.ScrobblingService Saving Progress
[Kavita] [2024-03-07 00:00:07.384 +00:00  249] [Debug] API.Services.Plus.ScrobblingService Saving Progress
[Kavita] [2024-03-07 00:00:07.387 +00:00  249] [Debug] API.Services.Plus.ScrobblingService Saving Progress
[Kavita] [2024-03-07 00:00:07.388 +00:00  249] [Information] API.Services.Plus.ScrobblingService Scrobbling Events is complete
[Kavita] [2024-03-07 00:00:07.391 +00:00  239] [Debug] API.Services.DirectoryService [ScanFiles] called on /manga/easy-zip-to-cbz
[Kavita] [2024-03-07 00:00:07.393 +00:00  239] [Debug] API.Services.DirectoryService [ScanFiles] called on /manga/easy-zip-to-cbz/.git
[Kavita] [2024-03-07 00:00:07.394 +00:00  239] [Debug] API.Services.DirectoryService [ScanFiles] called on /manga/easy-zip-to-cbz/.git/branches
[Kavita] [2024-03-07 00:00:07.396 +00:00  239] [Debug] API.Services.DirectoryService [ScanFiles] called on /manga/easy-zip-to-cbz/.git/hooks
[Kavita] [2024-03-07 00:00:07.399 +00:00  239] [Debug] API.Services.DirectoryService [ScanFiles] called on /manga/easy-zip-to-cbz/.git/info
